PSP Reference,Merchant Reference,Account,Creation Date,TimeZone,Value,Currency,Payment Method,Status,Risk Score
M7NC6DBTW9BSGHG2,edbe2479d7b246a081932a6e5091a38d,BaseCampLodzI,11/2/2023 7:14,CET,1560,PLN,Mastercard,SettledBulk,0
RQH6RVSQ8H697F32,fc035496d7ed47bb9ef016210806757c,BaseCampLeipzig,11/2/2023 7:09,CET,650,EUR,Mastercard,SettledBulk,20
PMRVP4RC97CNWPG2,a275aa5c2b04447c96342f9f6ca5dc14,BaseCampLyngbyResidential,11/2/2023 7:06,CET,18221,DKK,Visa,SettledBulk,0
PP5XKPPFHLMRC2C2,dd364c3dd476406eb48bfbb8cc8e5746,BaseCampPotsdam,11/2/2023 7:06,CET,880,EUR,Sofort (by Klarna),SentForSettle,0
QCJL74BRXP7NQPB2,ba8c08abc8e14ad6874cd8d9a59b3852,BaseCampLodzI,11/2/2023 7:03,CET,3050,PLN,Visa,SettledBulk,0
R66ZDQRPW9NXZP52,eccfec0382ff4620b7dfd5c32d2fc8e5,BaseCampLodzI,11/2/2023 6:56,CET,1440,PLN,Mastercard,SettledBulk,0
J2LQXCVW7DGMMM52,19f3b87f4e27409bb9aa8793ae715343,BaseCampGoettingen,11/2/2023 6:39,CET,440,EUR,Mastercard,SettledBulk,50
XBKWJZ63ZT6H2C52,e4112dff83e944af843614ae5ea1af42,BaseCampGoettingen,11/2/2023 6:27,CET,560,EUR,Mastercard,SettledBulk,0
WN658JXMRF2MPPG2,1afe57386c9045e8a784fc6a8a65fa05,BaseCampLeipzig,11/2/2023 6:20,CET,640,EUR,Visa,SettledBulk,50
NFQB9Q4QSZHTF232,277f38e3f65b4a3f8ac564da5189b159,BaseCampLodzI,11/2/2023 5:01,CET,1440,PLN,Mastercard,SettledBulk,0
GBCP8BGH4MB3CH52,baf2a6daebf0430eaa6366dc629dd0de,BaseCampMalmoe,11/2/2023 4:18,CET,7500,SEK,Visa,SettledBulk,50
HZH9MDKPWG6NWPG2,1c001cc5d59f4d59a392e6ddde9b6a76,BaseCampGoettingen,11/2/2023 3:04,CET,420,EUR,Mastercard,SettledBulk,0
CL3M2W2H99VMQPB2,e0dc561916f04a318bc9b14025a494bd,BaseCampGoettingen,11/2/2023 3:04,CET,420,EUR,Mastercard,SettledBulk,0
